seq_ix,r2,mse
158,0.10893041640520096,0.45591863989830017
137,0.10952887684106827,0.313444584608078
189,0.1096737552434206,0.9352889060974121
252,0.10984613187611103,0.4465891718864441
287,0.11188480444252491,1.1200484037399292
486,0.11213326267898083,1.0433310270309448
124,0.11273025535047054,0.6208716630935669
49,0.11358824372291565,0.4144073724746704
4,0.11388677172362804,0.3227101266384125
425,0.11454920284450054,0.8557906746864319
334,0.11489452421665192,0.5395950675010681
302,0.11652047000825405,0.465149849653244
369,0.11755689233541489,0.4504079520702362
516,0.1181119792163372,1.0521602630615234
353,0.11853737570345402,0.3329346179962158
182,0.11926362849771976,0.666386067867279
289,0.11947261542081833,0.41541939973831177
306,0.11968979798257351,0.511745035648346
505,0.1201312504708767,1.2213767766952515
72,0.12060653604567051,2.8678040504455566
358,0.12076085060834885,0.3374629020690918
251,0.12102100625634193,0.5844677686691284
301,0.12178527750074863,0.4945020079612732
71,0.1219120305031538,0.6184602379798889
233,0.12197162210941315,0.47233515977859497
488,0.1220264732837677,0.2859857678413391
226,0.1235926803201437,0.6806373000144958
51,0.12368909828364849,0.47075968980789185
374,0.12387839145958424,0.5091446042060852
206,0.12389014847576618,0.4234420359134674
259,0.12394308485090733,0.7700940370559692
513,0.12421569228172302,0.3392750918865204
81,0.1255121659487486,0.4814986288547516
17,0.12759120017290115,0.5061736702919006
349,0.1280474103987217,0.6649977564811707
498,0.1283752080053091,0.698386549949646
409,0.1285683661699295,0.4549751877784729
55,0.12884399481117725,0.400390625
19,0.1294576432555914,0.5906287431716919
227,0.13074955344200134,0.5480151772499084
494,0.13083100877702236,0.352170467376709
170,0.13166107051074505,0.6184228658676147
205,0.13301170617341995,0.7101559638977051
66,0.13332310877740383,0.508816123008728
444,0.13337634690105915,0.6296032071113586
496,0.13341167382895947,0.4292028546333313
245,0.1338049378246069,0.3404476046562195
330,0.1343767885118723,0.5556055307388306
371,0.13446949608623981,0.44012442231178284
94,0.13462006114423275,0.33084285259246826
48,0.13485142774879932,0.6870492100715637
335,0.13532539829611778,0.7552745342254639
416,0.13596215099096298,0.5313994884490967
383,0.13599773682653904,0.49758586287498474
326,0.13600514270365238,0.6408765316009521
181,0.13659504614770412,0.32657769322395325
84,0.13682531006634235,0.5483613610267639
312,0.13728556782007217,0.5892427563667297
143,0.1376469973474741,0.5155056715011597
36,0.1376543752849102,0.30947068333625793
404,0.13770127296447754,0.7094113230705261
151,0.13805699162185192,0.45982205867767334
439,0.13994535617530346,0.5142324566841125
70,0.14011315070092678,0.5258023738861084
328,0.14079668931663036,0.5139408707618713
463,0.1409149467945099,0.503322422504425
139,0.14274155907332897,0.257280170917511
370,0.14336713589727879,0.39833441376686096
269,0.14372947812080383,0.5689513087272644
295,0.1438274160027504,0.5707315802574158
429,0.14393210597336292,0.5110340118408203
77,0.14399209804832935,0.7770946621894836
449,0.1443107407540083,0.4028366506099701
512,0.14434154704213142,0.47972404956817627
412,0.14453329518437386,0.6039295196533203
204,0.14464290998876095,0.4744126498699188
399,0.14501754939556122,0.3115922510623932
111,0.14502870477735996,0.23551730811595917
313,0.14528235234320164,0.5858136415481567
418,0.14550519175827503,0.5503491759300232
99,0.14587238617241383,0.49899008870124817
342,0.14589004777371883,0.8134755492210388
318,0.14609857462346554,0.6521142721176147
85,0.14688517712056637,0.41048622131347656
296,0.1473777648061514,0.35811614990234375
9,0.147505147382617,0.6354016661643982
499,0.1479997057467699,0.561271071434021
135,0.14809195324778557,1.202082633972168
386,0.14835328981280327,0.5119442343711853
186,0.1487475410103798,0.30442535877227783
73,0.14974623918533325,0.5595072507858276
6,0.15026678144931793,0.4766627550125122
179,0.1509921606630087,1.013209581375122
507,0.15268603153526783,0.37766721844673157
436,0.15404003113508224,1.1578694581985474
414,0.15406912192702293,0.5507860779762268
107,0.15475707314908504,0.3160634934902191
23,0.15478104166686535,0.5411007404327393
34,0.15543321520090103,0.645179271697998
159,0.15627000108361244,0.6025004386901855
8,0.1562971416860819,0.600652813911438
317,0.15691502951085567,0.24854588508605957
327,0.15724038146436214,0.5389714241027832
491,0.15918343141674995,0.37902483344078064
459,0.159330727532506,0.5494404435157776
37,0.1612316519021988,0.5315924882888794
96,0.1615084670484066,0.3591972887516022
495,0.16199789009988308,0.48419368267059326
177,0.16216955706477165,0.5041279792785645
467,0.16228726133704185,0.36176490783691406
109,0.16229844465851784,0.5550113916397095
192,0.16316562704741955,0.40321844816207886
350,0.16404082998633385,1.0182249546051025
434,0.16485930979251862,0.3236050009727478
475,0.1651279702782631,0.34946420788764954
242,0.16526810079813004,0.5500152707099915
474,0.165360726416111,0.9861274361610413
105,0.16609134711325169,0.620611310005188
400,0.16696850210428238,0.5169686079025269
396,0.1677524782717228,0.3752233386039734
431,0.16782116144895554,0.2950395345687866
262,0.16803288832306862,0.4135664105415344
114,0.16827037185430527,0.3348994255065918
173,0.16908755898475647,1.1166701316833496
57,0.1692699957638979,0.6007379293441772
62,0.16979017481207848,0.678229033946991
476,0.17157188430428505,0.47978052496910095
67,0.17159737646579742,0.5803295373916626
265,0.17168652825057507,0.4669414162635803
154,0.17209181375801563,0.6711041331291199
508,0.172511650249362,0.6782594323158264
